source,survey_year,cohort,institution,medium_term_full_time_employment_rate,medium_term_full_time_employment_rate_ci_low,medium_term_full_time_employment_rate_ci_high
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The Australian National University,96.4,94.6,97.6
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Canberra,95.8,93.3,97.4
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Southern Cross University,95.3,92.3,97.1
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Queensland University of Technology,94.9,93.5,96.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Australian Catholic University,94.5,92.2,96.1
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of New South Wales,94.4,92.3,95.9
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Queensland,94.1,92.4,95.4
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Monash University,94.0,92.5,95.2
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of South Australia,94.0,91.9,95.5
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Southern Queensland,93.9,91.7,95.5
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,James Cook University,93.9,90.5,96.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Sydney,93.6,91.6,95.2
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Charles Darwin University,93.2,89.1,95.7
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Charles Sturt University,93.2,91.0,94.8
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Edith Cowan University,93.1,90.7,94.9
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Tasmania,93.1,91.3,94.5
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,All Universities,91.9,91.6,92.2
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Central Queensland University,91.8,89.0,93.9
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,La Trobe University,91.8,89.1,93.9
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of New England,91.6,89.4,93.4
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Notre Dame Australia,91.5,86.4,94.8
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of the Sunshine Coast,91.3,88.1,93.6
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Flinders University,91.2,88.2,93.5
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Newcastle,91.2,88.5,93.3
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Western Sydney University,91.1,88.4,93.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Curtin University,90.9,88.3,93.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Griffith University,90.8,88.7,92.6
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Deakin University,90.8,89.0,92.4
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Adelaide,90.8,88.1,92.8
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Technology Sydney,90.7,88.4,92.5
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Murdoch University,90.4,86.3,93.4
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Western Australia,90.0,86.2,92.8
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Swinburne University of Technology,89.4,87.0,91.4
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Australian University of Theology,89.3,75.8,95.9
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Wollongong,89.2,85.6,91.9
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,RMIT University,88.9,86.8,90.6
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Macquarie University,88.3,85.6,90.5
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Melbourne,88.2,86.0,90.1
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Federation University Australia,87.6,82.6,91.2
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Victoria University,86.6,82.7,89.7
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Torrens University,84.4,78.0,89.2
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Bond University,80.6,67.2,89.2
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Avondale University,,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Divinity,,,
