source,survey_year,cohort,institution,medium_term_median_salary_aud,medium_term_median_salary_aud_ci_low,medium_term_median_salary_aud_ci_high
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Charles Sturt University,100000.0,97000.0,103000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Central Queensland University,99600.0,97900.0,101300.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of New South Wales,99200.0,96800.0,101600.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of New England,98000.0,95700.0,100300.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Southern Queensland,98000.0,95100.0,100900.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The Australian National University,97400.0,95200.0,99700.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Tasmania,97000.0,94100.0,99900.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Curtin University,96700.0,92900.0,100500.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Sydney,96000.0,93100.0,98900.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Charles Darwin University,95000.0,89200.0,100800.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Edith Cowan University,95000.0,91500.0,98500.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Canberra,95000.0,90900.0,99100.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Queensland,94000.0,92000.0,96000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,James Cook University,93900.0,89600.0,98200.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Swinburne University of Technology,93000.0,89800.0,96200.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Southern Cross University,92000.0,89300.0,94800.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Murdoch University,92000.0,87600.0,96400.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Queensland University of Technology,92000.0,89600.0,94400.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Macquarie University,91200.0,89100.0,93300.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,All Universities,91200.0,90800.0,91700.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Wollongong,91100.0,86800.0,95400.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Newcastle,91000.0,88400.0,93600.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of the Sunshine Coast,90200.0,87300.0,93000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Monash University,90100.0,88400.0,91800.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Western Australia,90000.0,86200.0,93800.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Technology Sydney,90000.0,87300.0,92700.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Notre Dame Australia,89800.0,85800.0,93700.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Griffith University,89500.0,87400.0,91600.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Deakin University,88000.0,85200.0,90800.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of South Australia,87700.0,85500.0,89800.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,La Trobe University,87000.0,84100.0,89900.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Flinders University,86100.0,83800.0,88400.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Western Sydney University,86100.0,83600.0,88600.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Australian Catholic University,85800.0,83600.0,87900.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Adelaide,85000.0,81200.0,88800.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,The University of Melbourne,85000.0,83000.0,87000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Victoria University,85000.0,81600.0,88400.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,RMIT University,84400.0,82200.0,86500.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Federation University Australia,83800.0,80600.0,87100.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Torrens University,77000.0,69900.0,84100.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Australian University of Theology,,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Avondale University,,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,Bond University,,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate universities,University of Divinity,,,
