"source","survey_year","cohort","institution","medium_term_full_time_employment_rate","medium_term_full_time_employment_rate_ci_low","medium_term_full_time_employment_rate_ci_high","medium_term_median_salary_aud","medium_term_median_salary_aud_ci_low","medium_term_median_salary_aud_ci_high"
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Charles Sturt University",93.2,91,94.8,1e+05,97000,103000
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Central Queensland University",91.8,89,93.9,99600,97900,101300
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","University of New South Wales",94.4,92.3,95.9,99200,96800,101600
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","University of New England",91.6,89.4,93.4,98000,95700,100300
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","University of Southern Queensland",93.9,91.7,95.5,98000,95100,100900
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","The Australian National University",96.4,94.6,97.6,97400,95200,99700
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","University of Tasmania",93.1,91.3,94.5,97000,94100,99900
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Curtin University",90.9,88.3,93,96700,92900,100500
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","The University of Sydney",93.6,91.6,95.2,96000,93100,98900
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Charles Darwin University",93.2,89.1,95.7,95000,89200,100800
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Edith Cowan University",93.1,90.7,94.9,95000,91500,98500
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","University of Canberra",95.8,93.3,97.4,95000,90900,99100
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","The University of Queensland",94.1,92.4,95.4,94000,92000,96000
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","James Cook University",93.9,90.5,96,93900,89600,98200
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Swinburne University of Technology",89.4,87,91.4,93000,89800,96200
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Murdoch University",90.4,86.3,93.4,92000,87600,96400
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Queensland University of Technology",94.9,93.5,96,92000,89600,94400
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Southern Cross University",95.3,92.3,97.1,92000,89300,94800
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","All Universities",91.9,91.6,92.2,91200,90800,91700
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Macquarie University",88.3,85.6,90.5,91200,89100,93300
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","University of Wollongong",89.2,85.6,91.9,91100,86800,95400
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","University of Newcastle",91.2,88.5,93.3,91000,88400,93600
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","University of the Sunshine Coast",91.3,88.1,93.6,90200,87300,93000
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Monash University",94,92.5,95.2,90100,88400,91800
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","The University of Western Australia",90,86.2,92.8,90000,86200,93800
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","University of Technology Sydney",90.7,88.4,92.5,90000,87300,92700
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","The University of Notre Dame Australia",91.5,86.4,94.8,89800,85800,93700
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Griffith University",90.8,88.7,92.6,89500,87400,91600
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Deakin University",90.8,89,92.4,88000,85200,90800
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","The University of South Australia",94,91.9,95.5,87700,85500,89800
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","La Trobe University",91.8,89.1,93.9,87000,84100,89900
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Flinders University",91.2,88.2,93.5,86100,83800,88400
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Western Sydney University",91.1,88.4,93,86100,83600,88600
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Australian Catholic University",94.5,92.2,96.1,85800,83600,87900
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","The University of Adelaide",90.8,88.1,92.8,85000,81200,88800
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","The University of Melbourne",88.2,86,90.1,85000,83000,87000
"QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate universities","Victoria University",86.6,82.7,89.7,85000,81600,88400
