"field_of_education","source","survey_year","cohort","short_term_full_time_employment_rate","medium_term_full_time_employment_rate","short_term_overall_employment_rate","medium_term_overall_employment_rate","short_term_labour_force_participation_rate","medium_term_labour_force_participation_rate","short_term_median_salary_aud","medium_term_median_salary_aud","is_cis","is_stem_related","full_time_employment_growth","overall_employment_growth","salary_growth","salary_growth_rate","high_medium_salary","male_medium_salary_aud","female_medium_salary_aud","gender_pay_gap"
"Dentistry","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",93.8,94.1,92.5,96.9,95.7,92.9,89700,128900,"No","Yes",0.299999999999997,4.40000000000001,39200,0.43701226309922,"Yes",NA,122100,NA
"Medicine","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",91.9,98.3,91.2,98.6,93.5,90.4,80000,115000,"No","Yes",6.39999999999999,7.39999999999999,35000,0.4375,"Yes",120000,110900,0.0758333333333333
"Engineering","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",88.5,95.5,91.9,96.3,96.4,95.5,71000,103000,"No","Yes",7,4.39999999999999,32000,0.450704225352113,"Yes",104400,100500,0.0373563218390805
"Computing and information systems","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",77.5,91,84.2,92,95,95,69100,1e+05,"Yes","Yes",13.5,7.8,30900,0.447178002894356,"Yes",103000,94000,0.087378640776699
"Law and paralegal studies","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",81.2,95.1,88.2,96,94.1,92.8,70000,1e+05,"No","No",13.9,7.8,30000,0.428571428571429,"Yes",103300,1e+05,0.031945788964182
"Pharmacy","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",97.8,97.4,99,95.9,95.2,92.4,52200,97700,"No","Yes",-0.399999999999991,-3.09999999999999,45500,0.871647509578544,"Yes",NA,96900,NA
"Social work","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",78.6,89.8,87.8,94.9,93.8,90.9,75000,95200,"No","No",11.2,7.10000000000001,20200,0.269333333333333,"Yes",95200,95000,0.00210084033613445
"Business and management","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",84.8,94.1,90.8,95.4,96.7,94.9,65000,95000,"No","No",9.3,4.60000000000001,30000,0.461538461538462,"Yes",98000,92000,0.0612244897959184
"Health services and support","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",79.9,92.5,91.6,95.6,93.2,90.7,70000,93000,"No","Yes",12.6,4,23000,0.328571428571429,"Yes",1e+05,92000,0.08
"Teacher education","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",88.1,95.3,94.6,97.4,94.8,91.7,72300,92600,"No","No",7.2,2.80000000000001,20300,0.280774550484094,"Yes",95000,91300,0.0389473684210526
"Psychology","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",73.1,87.7,87.7,93.4,90.7,89.3,69800,91300,"No","No",14.6,5.7,21500,0.308022922636103,"No",91300,91300,0
"Agriculture and environmental studies","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",84.5,93.5,92.1,94.8,88.4,87.4,70000,91200,"No","No",9,2.7,21200,0.302857142857143,"No",95600,90000,0.0585774058577406
"Humanities, culture and social sciences","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",73.9,90,87.3,93.8,92.1,89.9,67000,90000,"No","No",16.1,6.5,23000,0.343283582089552,"No",92000,90000,0.0217391304347826
"Veterinary science","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",93.2,93.3,95.9,96.9,97,95,64200,90000,"No","Yes",0.0999999999999943,1,25800,0.401869158878505,"No",NA,91500,NA
"Rehabilitation","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",96.9,95.8,97.5,97.6,97.5,94.5,70000,89700,"No","Yes",-1.10000000000001,0.0999999999999943,19700,0.281428571428571,"No",95000,89000,0.0631578947368421
"Science and mathematics","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",72.9,91.1,86.2,92.8,86.8,84.4,66500,85600,"No","Yes",18.2,6.59999999999999,19100,0.287218045112782,"No",91300,84000,0.0799561883899233
"Nursing","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",84.9,94.1,92.6,97.7,95.5,92.6,68900,85000,"No","Yes",9.19999999999999,5.10000000000001,16100,0.23367198838897,"No",90200,85000,0.057649667405765
"Architecture and built environment","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",80,91.2,90,93.4,94.6,95.5,65000,84000,"No","No",11.2,3.40000000000001,19000,0.292307692307692,"No",90500,82100,0.092817679558011
"Communications","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",70.5,85.6,86.8,91.3,91.7,86.1,60500,80000,"No","No",15.1,4.5,19500,0.322314049586777,"No",81000,80000,0.0123456790123457
"Creative arts","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",60.8,83.6,84.2,91.3,90.4,86.5,57200,75000,"No","No",22.8,7.09999999999999,17800,0.311188811188811,"No",75500,74700,0.0105960264900662
"Tourism, hospitality, personal services, sport and recreation","QILT GOS-L 2025 National Report Tables",2025,"Domestic undergraduate",63,90.3,95,92.3,93,90.7,NA,NA,"No","No",27.3,-2.7,NA,NA,NA,NA,NA,NA
